Player ID,GameOutcome,Game,TeamSlayerSkillLevel,MaxSkillLevel,Treatment,Positive,Negative,Neutral,Kills,Deaths,TreatmentKills,TreatmentDeaths,TreatmentTSSkill,TreatmentMaxSkill,Sexism
49,Won,F022809H,1,50,Female,1,1,1,20,9,0,5,4,4,No
50,Won,M070209A,22,22,Male,3,0,0,8,7,9,5,23,24,No
51,Won,F061709E,6,,Female,1,3,0,26,,3,,10,10,No
52,Won,F062609A,1,11,Female,5,15,7,9,8,18,3,20,19,No
53,Won,F061809I,11,11,Male,1,1,1,16,12,9,8,14,14,No
54,Won,F061809C,8,38,Female,1,2,0,19,11,8,9,12,12,No
55,Won,F061809G,12,12,Female,2,1,0,13,13,19,8,14,14,No
56,Lost,M062709E,5,8,Male,4,1,1,7,14,17,11,9,10,No
57,Lost,F061809J,17,18,Female,1,9,1,7,13,17,11,15,15,No
59,Lost,F062809H,26,27,Female,0,2,3,12,11,6,15,26,26,No
60,Won,F062809J,29,29,Female,9,0,1,16,13,10,16,25,26,No
65,Won,F061809C,13,40,Female,5,14,9,7,12,8,9,12,12,Yes
66,Won,M070109E,23,42,Male,0,1,0,5,7,2,5,21,22,No
67,Lost,F030109A,7,8,Female,2,2,1,6,11,1,13,5,5,No
68,Lost,M070109C,26,26,Male,3,0,0,13,13,12,8,21,22,No
69,Won,F061909B,16,43,Female,0,0,2,14,3,14,4,15,15,No
70,Won,M063009F,21,40,Male,0,2,0,17,11,18,13,19,19,No
71,Lost,F061909F,18,18,Female,6,4,2,13,11,10,14,14,15,Yes
72,Won,M062809F,13,14,Male,0,1,0,16,8,14,11,16,16,No
73,Lost,M063009H,5,5,Male,1,0,1,7,14,10,12,21,21,No
74,Lost,F061709G,12,12,Female,1,0,0,12,12,13,12,11,11,No
75,Won,M062709H,7,42,Male,2,6,2,22,7,13,8,10,10,No
76,Won,M062709H,12,12,Male,0,1,0,8,10,13,8,10,10,No
77,Won,F062809F,27,27,Female,1,0,0,18,10,7,3,25,25,No
79,Lost,F061809A,15,15,Female,4,13,10,11,13,7,13,12,12,No
80,Won,M062109F,7,38,Male,6,0,4,15,2,4,2,6,6,No
82,Won,F061909B,19,23,Female,3,7,3,2,7,14,4,15,15,No
83,Won,F062709C,15,16,Female,1,2,0,10,13,15,7,22,22,No
84,Won,M031109C,1,3,Male,1,0,0,14,,18,,1,1,No
85,Won,M062909H,22,33,Male,6,10,8,15,12,11,14,16,18,No
86,Won,M063009G,23,27,Male,1,0,2,9,9,14,6,20,20,No
87,Lost,F061809J,17,18,Female,1,3,1,7,14,17,11,15,15,No
